trade_date,ts_code,pe_ttm,pb,_td
20210506,000703.SZ,14.2573,1.9974,20210506
20210507,000703.SZ,14.3739,2.0138,20210507
20210510,000703.SZ,14.1513,1.9826,20210510
20210511,000703.SZ,13.5153,1.8935,20210511
20210512,000703.SZ,13.6425,1.9113,20210512
20210513,000703.SZ,13.4729,1.8875,20210513
20210514,000703.SZ,13.4835,1.889,20210514
20210517,000703.SZ,13.6743,1.9157,20210517
20210518,000703.SZ,13.7909,1.9321,20210518
20210519,000703.SZ,13.3669,1.8727,20210519
20210520,000703.SZ,13.0171,1.8237,20210520
20210521,000703.SZ,12.9322,1.8118,20210521
20210524,000703.SZ,12.858,1.8014,20210524
20210525,000703.SZ,13.4305,1.8816,20210525
20210526,000703.SZ,13.4835,1.889,20210526
20210527,000703.SZ,13.4623,1.886,20210527
20210528,000703.SZ,13.3987,1.8771,20210528
20210531,000703.SZ,13.2397,1.8549,20210531
20210601,000703.SZ,13.9817,1.9588,20210601
20210602,000703.SZ,13.9181,1.9499,20210602
20210603,000703.SZ,13.6001,1.9053,20210603
20210604,000703.SZ,13.6107,1.9068,20210604
20210607,000703.SZ,13.8863,1.9454,20210607
20210608,000703.SZ,13.5471,1.8979,20210608
20210609,000703.SZ,13.8333,1.938,20210609
20210610,000703.SZ,13.9287,1.9514,20210610
20210611,000703.SZ,13.6743,1.9157,20210611
20210615,000703.SZ,13.3457,1.8697,20210615
20210616,000703.SZ,13.1867,1.8474,20210616
20210617,000703.SZ,12.9216,1.8103,20210617
20210618,000703.SZ,12.7414,1.7851,20210618
20210621,000703.SZ,12.5188,1.7539,20210621
20210622,000703.SZ,12.5612,1.7598,20210622
20210623,000703.SZ,12.646,1.7717,20210623
20210624,000703.SZ,12.6566,1.7732,20210624
20210625,000703.SZ,13.1867,1.8474,20210625
20210628,000703.SZ,12.9428,1.8133,20210628
20210629,000703.SZ,12.8051,1.9312,20210629
20210630,000703.SZ,12.6673,1.9104,20210630
20210701,000703.SZ,12.7839,1.928,20210701
20210702,000703.SZ,13.2079,1.992,20210702
20210705,000703.SZ,13.8121,2.0831,20210705
20210706,000703.SZ,13.5683,2.1483,20210706
20210707,000703.SZ,13.4199,2.1248,20210707
20210708,000703.SZ,13.3457,2.1131,20210708
20210709,000703.SZ,13.5153,2.1399,20210709
20210712,000703.SZ,13.5365,2.1433,20210712
20210713,000703.SZ,13.7061,2.0088,20210713
20210714,000703.SZ,14.0559,2.0601,20210714
20210715,000703.SZ,14.0453,2.0585,20210715
20210716,000703.SZ,13.9499,2.0445,20210716
20210719,000703.SZ,13.8651,2.0321,20210719
20210720,000703.SZ,13.4199,1.9668,20210720
20210721,000703.SZ,13.4623,1.9731,20210721
20210722,000703.SZ,14.0029,2.0523,20210722
20210723,000703.SZ,13.7591,2.0166,20210723
20210726,000703.SZ,13.3033,1.9498,20210726
20210727,000703.SZ,12.8263,1.8798,20210727
20210728,000703.SZ,12.5295,1.8363,20210728
20210729,000703.SZ,12.7621,1.8704,20210729
20210730,000703.SZ,12.836,1.8813,20210730
20210802,000703.SZ,13.2899,1.9478,20210802
20210803,000703.SZ,13.0894,2.0112,20210803
20210804,000703.SZ,12.9944,1.9966,20210804
20210805,000703.SZ,12.6882,1.9496,20210805
20210806,000703.SZ,12.7094,1.9528,20210806
20210809,000703.SZ,12.8044,1.9674,20210809
20210810,000703.SZ,12.8783,1.9787,20210810
20210811,000703.SZ,12.8677,1.9771,20210811
20210812,000703.SZ,12.8783,1.9787,20210812
20210813,000703.SZ,12.9627,1.9917,20210813
20210816,000703.SZ,12.8466,1.9739,20210816
20210817,000703.SZ,12.5088,1.922,20210817
20210818,000703.SZ,12.2238,1.8782,20210818
20210819,000703.SZ,12.1288,1.8636,20210819
20210820,000703.SZ,12.2449,1.8814,20210820
20210823,000703.SZ,12.2027,1.8749,20210823
20210824,000703.SZ,12.0866,1.8571,20210824
20210825,000703.SZ,12.59,1.7058,20210825
20210826,000703.SZ,12.5254,1.697,20210826
20210827,000703.SZ,12.7085,1.7218,20210827
20210830,000703.SZ,12.7085,1.7218,20210830
20210831,000703.SZ,12.6223,1.7102,20210831
20210901,000703.SZ,12.6869,1.7189,20210901
20210902,000703.SZ,12.967,1.7568,20210902
20210903,000703.SZ,12.9023,1.7481,20210903
20210906,000703.SZ,12.8808,1.7452,20210906
20210907,000703.SZ,13.107,1.7758,20210907
20210908,000703.SZ,13.247,1.7948,20210908
20210909,000703.SZ,13.2793,1.7992,20210909
20210910,000703.SZ,13.107,1.7758,20210910
20210913,000703.SZ,13.4947,1.8283,20210913
20210914,000703.SZ,13.4839,1.8269,20210914
20210915,000703.SZ,13.5701,1.8386,20210915
20210916,000703.SZ,13.947,1.8896,20210916
